[2026-03-26T14:02:17.654+0900][0.014s][info][gc,init] CardTable entry size: 512
[2026-03-26T14:02:17.654+0900][0.014s][info][gc     ] Using G1
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] Version: 21.0.10+8-LTS-217 (release)
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] CPUs: 16 total, 16 available
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] Memory: 32380M
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] Large Page Support: Disabled
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] NUMA Support: Disabled
[2026-03-26T14:02:17.654+0900][0.016s][info][gc,init] Compressed Oops: Enabled (32-bit)
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Heap Region Size: 1M
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Heap Min Capacity: 256M
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Heap Initial Capacity: 256M
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Heap Max Capacity: 512M
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Pre-touch: Disabled
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Parallel Workers: 13
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Concurrent Workers: 3
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Concurrent Refinement Workers: 13
[2026-03-26T14:02:17.670+0900][0.026s][info][gc,init] Periodic GC: Disabled
[2026-03-26T14:02:17.678+0900][0.035s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000014f39000000-0x0000014f39c90000-0x0000014f39c90000), size 13172736, SharedBaseAddress: 0x0000014f39000000, ArchiveRelocationMode: 1.
[2026-03-26T14:02:17.678+0900][0.035s][info][gc,metaspace] Compressed class space mapped at: 0x0000014f3a000000-0x0000014f7a000000, reserved size: 1073741824
[2026-03-26T14:02:17.678+0900][0.035s][info][gc,metaspace] Narrow klass base: 0x0000014f39000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-03-26T14:02:17.746+0900][0.102s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
