[2026-03-23T17:28:13.300+0900][0.003s][info][gc,init] CardTable entry size: 512
[2026-03-23T17:28:13.300+0900][0.004s][info][gc     ] Using G1
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Version: 21.0.9+10-LTS (release)
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] CPUs: 14 total, 14 available
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Memory: 49152M
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Large Page Support: Disabled
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] NUMA Support: Disabled
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Compressed Oops: Enabled (Zero based)
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Heap Region Size: 4M
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Heap Min Capacity: 256M
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Heap Initial Capacity: 256M
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Heap Max Capacity: 512M
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Pre-touch: Disabled
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Parallel Workers: 11
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Concurrent Workers: 3
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Concurrent Refinement Workers: 11
[2026-03-23T17:28:13.301+0900][0.004s][info][gc,init] Periodic GC: Disabled
[2026-03-23T17:28:13.303+0900][0.007s][info][gc,metaspace] CDS archive(s) mapped at: [0x000000f000000000-0x000000f000c9c000-0x000000f000c9c000), size 13221888, SharedBaseAddress: 0x000000f000000000, ArchiveRelocationMode: 1.
[2026-03-23T17:28:13.303+0900][0.007s][info][gc,metaspace] Compressed class space mapped at: 0x000000f001000000-0x000000f041000000, reserved size: 1073741824
[2026-03-23T17:28:13.303+0900][0.007s][info][gc,metaspace] Narrow klass base: 0x000000f000000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-03-23T17:28:13.371+0900][0.074s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-23T17:28:13.371+0900][0.074s][info][gc,task     ] GC(0) Using 6 workers of 11 for evacuation
[2026-03-23T17:28:13.371+0900][0.075s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.04ms
[2026-03-23T17:28:13.371+0900][0.075s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.02ms
[2026-03-23T17:28:13.371+0900][0.075s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 0.40ms
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.09ms
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,phases   ] GC(0)   Other: 0.19ms
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,heap     ] GC(0) Eden regions: 5->0(5)
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,heap     ] GC(0) Survivor regions: 0->1(1)
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,heap     ] GC(0) Old regions: 1->1
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,heap     ] GC(0) Humongous regions: 0->0
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,metaspace] GC(0) Metaspace: 216K(384K)->216K(384K) NonClass: 201K(256K)->201K(256K) Class: 14K(128K)->14K(128K)
[2026-03-23T17:28:13.372+0900][0.075s][info][gc          ] GC(0) Pause Young (Normal) (G1 Evacuation Pause) 20M->4M(260M) 0.906ms
[2026-03-23T17:28:13.372+0900][0.075s][info][gc,cpu      ] GC(0) User=0.00s Sys=0.00s Real=0.00s
[2026-03-23T17:28:13.433+0900][0.136s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-23T17:28:13.433+0900][0.136s][info][gc,task     ] GC(1) Using 6 workers of 11 for evacuation
[2026-03-23T17:28:13.433+0900][0.137s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.04ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.02ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 0.42ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.07ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,phases   ] GC(1)   Other: 0.03ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,heap     ] GC(1) Eden regions: 5->0(10)
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,heap     ] GC(1) Survivor regions: 1->1(1)
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,heap     ] GC(1) Old regions: 1->2
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,metaspace] GC(1) Metaspace: 216K(384K)->216K(384K) NonClass: 202K(256K)->202K(256K) Class: 14K(128K)->14K(128K)
[2026-03-23T17:28:13.434+0900][0.137s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 24M->7M(260M) 0.768ms
[2026-03-23T17:28:13.434+0900][0.137s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[2026-03-23T17:28:13.566+0900][0.269s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-23T17:28:13.566+0900][0.270s][info][gc,task     ] GC(2) Using 6 workers of 11 for evacuation
[2026-03-23T17:28:13.567+0900][0.271s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.08ms
[2026-03-23T17:28:13.568+0900][0.271s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.03ms
[2026-03-23T17:28:13.568+0900][0.271s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 0.76ms
