[2026-03-27T19:30:44.904+0900][0.027s][info][gc,init] CardTable entry size: 512
[2026-03-27T19:30:44.904+0900][0.027s][info][gc     ] Using G1
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Version: 18.0.1.1+2-6 (release)
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] CPUs: 8 total, 8 available
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Memory: 16092M
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Large Page Support: Disabled
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] NUMA Support: Disabled
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Compressed Oops: Enabled (32-bit)
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Heap Region Size: 1M
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Heap Min Capacity: 256M
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Heap Initial Capacity: 256M
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Heap Max Capacity: 512M
[2026-03-27T19:30:44.906+0900][0.029s][info][gc,init] Pre-touch: Disabled
[2026-03-27T19:30:44.907+0900][0.029s][info][gc,init] Parallel Workers: 8
[2026-03-27T19:30:44.907+0900][0.029s][info][gc,init] Concurrent Workers: 2
[2026-03-27T19:30:44.907+0900][0.029s][info][gc,init] Concurrent Refinement Workers: 8
[2026-03-27T19:30:44.907+0900][0.029s][info][gc,init] Periodic GC: Disabled
[2026-03-27T19:30:44.908+0900][0.031s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800ba0000-0x0000000800ba0000), size 12189696, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[2026-03-27T19:30:44.908+0900][0.031s][info][gc,metaspace] Compressed class space mapped at: 0x0000000800c00000-0x0000000840c00000, reserved size: 1073741824
[2026-03-27T19:30:44.908+0900][0.031s][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-03-27T19:30:45.033+0900][0.156s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-27T19:30:45.033+0900][0.156s][info][gc,task     ] GC(0) Using 6 workers of 8 for evacuation
