[2026-03-27T19:31:03.374+0900][0.008s][info][gc,init] CardTable entry size: 512
[2026-03-27T19:31:03.374+0900][0.009s][info][gc     ] Using G1
[2026-03-27T19:31:03.375+0900][0.009s][info][gc,init] Version: 18.0.1.1+2-6 (release)
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] CPUs: 8 total, 8 available
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Memory: 16092M
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Large Page Support: Disabled
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] NUMA Support: Disabled
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Compressed Oops: Enabled (32-bit)
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Heap Region Size: 8M
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Heap Min Capacity: 256M
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Heap Initial Capacity: 256M
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Heap Max Capacity: 512M
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Pre-touch: Disabled
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Parallel Workers: 8
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Concurrent Workers: 2
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Concurrent Refinement Workers: 8
[2026-03-27T19:31:03.375+0900][0.010s][info][gc,init] Periodic GC: Disabled
[2026-03-27T19:31:03.375+0900][0.011s][info][gc,metaspace] CDS archive(s) mapped at: [0x0000000800000000-0x0000000800ba0000-0x0000000800ba0000), size 12189696, SharedBaseAddress: 0x0000000800000000, ArchiveRelocationMode: 0.
[2026-03-27T19:31:03.375+0900][0.011s][info][gc,metaspace] Compressed class space mapped at: 0x0000000800c00000-0x0000000840c00000, reserved size: 1073741824
[2026-03-27T19:31:03.375+0900][0.011s][info][gc,metaspace] Narrow klass base: 0x0000000800000000, Narrow klass shift: 0, Narrow klass range: 0x100000000
[2026-03-27T19:31:03.413+0900][0.048s][info][gc,start    ] GC(0) Pause Young (Normal) (G1 Evacuation Pause)
[2026-03-27T19:31:03.413+0900][0.048s][info][gc,task     ] GC(0) Using 6 workers of 8 for evacuation
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,phases   ] GC(0)   Pre Evacuate Collection Set: 0.0ms
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,phases   ] GC(0)   Merge Heap Roots: 0.1ms
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,phases   ] GC(0)   Evacuate Collection Set: 0.5ms
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,phases   ] GC(0)   Post Evacuate Collection Set: 0.3ms
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,phases   ] GC(0)   Other: 0.5ms
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,heap     ] GC(0) Eden regions: 1->0(1)
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,heap     ] GC(0) Survivor regions: 0->1(1)
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,heap     ] GC(0) Old regions: 0->0
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,heap     ] GC(0) Archive regions: 0->0
[2026-03-27T19:31:03.414+0900][0.049s][info][gc,heap     ] GC(0) Humongous regions: 0->0
